Distance (m),Force (N)
0.008055,0.27492
0.008055,0.262404
0.008055,0.268662
0.008055,0.27492
0.008055,0.268662
0.008055,0.281177
0.008055,0.293693
0.008055,0.287435
0.008055,0.281177
0.008055,0.281177
0.007832,0.287435
0.007832,0.281177
0.007832,0.287435
0.007832,0.287435
0.007832,0.287435
0.007832,0.281177
0.007832,0.281177
0.007832,0.299951
0.007608,0.299951
0.007608,0.306209
0.007608,0.312467
0.007384,0.306209
0.007384,0.306209
0.007384,0.318724
0.00716,0.318724
0.00716,0.33124
0.00716,0.33124
0.00716,0.33124
0.00716,0.337498
0.00716,0.343756
0.00716,0.337498
0.00716,0.343756
0.00716,0.343756
0.006937,0.350013
0.006937,0.343756
0.006937,0.356271
0.006937,0.337498
0.006937,0.343756
0.006937,0.350013
0.006713,0.350013
0.006713,0.356271
0.006713,0.368787
0.006489,0.375045
0.006489,0.381303
0.006489,0.38756
0.006489,0.38756
0.006265,0.38756
0.006265,0.393818
0.006265,0.406334
0.006265,0.406334
0.006042,0.406334
0.006042,0.412592
0.006042,0.418849
0.006042,0.412592
0.006042,0.418849
0.006042,0.437623
0.005818,0.431365
0.005818,0.437623
0.005818,0.437623
0.005818,0.443881
0.005818,0.450139
0.005594,0.443881
0.005594,0.450139
0.005594,0.456396
0.005594,0.468912
0.00537,0.468912
0.00537,0.47517
0.00537,0.481428
0.00537,0.487686
0.005146,0.506459
0.005146,0.506459
0.005146,0.506459
0.005146,0.53149
0.004923,0.53149
0.004923,0.53149
0.004923,0.550264
0.004699,0.575295
0.004699,0.569037
0.004699,0.575295
0.004699,0.581553
0.004475,0.600326
0.004475,0.612842
0.004475,0.6191
0.004251,0.631615
0.004251,0.644131
0.004251,0.644131
0.004251,0.650389
0.004251,0.650389
0.004028,0.662905
0.004028,0.662905
0.004028,0.662905
0.004028,0.662905
0.004028,0.67542
0.004028,0.669162
0.004028,0.669162
0.004028,0.669162
0.004028,0.67542
0.004028,0.681678
0.004028,0.687936
0.004028,0.681678
0.004028,0.669162
0.004028,0.67542
0.004028,0.687936
0.004028,0.687936
0.004028,0.687936
0.004028,0.700451
0.004028,0.694194
0.004028,0.687936
0.004028,0.694194
0.004028,0.687936
0.004028,0.694194
0.004028,0.694194
0.004028,0.694194
0.004028,0.694194
0.003804,0.687936
0.003804,0.706709
0.003804,0.706709
0.003804,0.694194
0.003804,0.706709
0.003804,0.706709
0.003804,0.706709
0.003804,0.712967
0.003804,0.731741
0.003804,0.719225
0.003804,0.719225
0.003804,0.725483
0.003804,0.719225
0.003804,0.725483
0.003804,0.719225
0.003804,0.719225
0.003804,0.719225
0.003804,0.719225
0.003804,0.719225
0.003804,0.719225
0.003804,0.725483
0.003804,0.731741
0.003804,0.712967
0.003804,0.719225
0.003804,0.731741
0.003804,0.719225
0.003804,0.731741
0.00358,0.737998
0.00358,0.737998
0.00358,0.737998
0.00358,0.750514
0.00358,0.750514
0.00358,0.744256
0.00358,0.756772
0.00358,0.76303
0.00358,0.769288
0.00358,0.769288
0.00358,0.775545
0.003356,0.781803
0.003356,0.788061
0.003356,0.788061
0.003356,0.800577
0.003356,0.800577
0.003356,0.806834
0.003356,0.813092
0.003356,0.825608
0.003133,0.831866
0.003133,0.844381
0.003133,0.856897
0.003133,0.875671
0.003133,0.881928
0.002909,0.888186
0.002909,0.90696
0.002909,0.913217
0.002909,0.900702
0.002909,0.931991
0.002909,0.913217
0.002909,0.925733
0.002909,0.919475
0.002909,0.931991
0.002909,0.925733
0.002909,0.950764
0.002909,0.944507
0.002909,0.944507
0.002909,0.957022
0.002909,0.950764
0.002909,0.969538
0.002909,0.957022
0.002909,0.96328
